Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
rue,0.0,0.0003794874389657702,0.0003794874389657702
koran,0.0,0.0003794874389657702,0.0003794874389657702
vizier,0.0,0.0003794874389657702,0.0003794874389657702
venetian,0.0,0.0003794874389657702,0.0003794874389657702
chapter,3.795930762222897e-05,0.00041743618286234726,0.0003794768752401183
latter,3.795930762222897e-05,0.00041743618286234726,0.0003794768752401183
western,7.591861524445795e-05,0.0004553849267589243,0.00037946631151446636
spring,0.00011387792286668691,0.0004933336706555013,0.0003794557477888144
gate,0.00022775584573337383,0.0006071799023452324,0.0003794240566118586
old,0.0031885818402672336,0.002820856629645559,0.0003677252106216748
believe,0.0009110233829334953,0.0005439319958509373,0.000367091387082558
hope,0.0006073489219556636,0.00024034204467832115,0.0003670068772773424
custom,0.0,0.00036683785766691124,0.00036683785766691124
139,0.0,0.00036683785766691124,0.00036683785766691124
remains,0.0,0.00036683785766691124,0.00036683785766691124
gallery,0.0,0.00036683785766691124,0.00036683785766691124
building,3.795930762222897e-05,0.00040478660156348823,0.00036682729394125926
shore,3.795930762222897e-05,0.00040478660156348823,0.00036682729394125926
suppose,3.795930762222897e-05,0.00040478660156348823,0.00036682729394125926
sort,7.591861524445795e-05,0.00044273534546006527,0.00036681673021560733
going,0.00011387792286668691,0.0004806840893566423,0.0003668061664899554
line,0.00011387792286668691,0.0004806840893566423,0.0003668061664899554
indeed,0.0001518372304889159,0.0005186328332532193,0.0003667956027643035
point,0.0004175523838445187,0.0007842740405292585,0.0003667216566847398
half,0.0004934709990889766,0.0008601715283224126,0.000366700529233436
sometimes,0.0006073489219556636,0.0009740177600121436,0.00036666883805648
written,0.0006832675372001215,0.0003288891137703342,0.0003543784234297873
face,0.0006453082295778925,0.00029094036987375717,0.00035436785970413537
copy,0.0005314303067112056,0.0001770941381840261,0.00035433616852717953
corner,0.0,0.0003541882763680522,0.0003541882763680522
floor,0.0,0.0003541882763680522,0.0003541882763680522
genoese,0.0,0.0003541882763680522,0.0003541882763680522
farther,0.0,0.0003541882763680522,0.0003541882763680522
boats,0.0,0.0003541882763680522,0.0003541882763680522
moustafa,0.0,0.0003541882763680522,0.0003541882763680522
sinan,0.0,0.0003541882763680522,0.0003541882763680522
upper,3.795930762222897e-05,0.00039213702026462925,0.0003541777126424003
castle,3.795930762222897e-05,0.00039213702026462925,0.0003541777126424003
opposite,3.795930762222897e-05,0.00039213702026462925,0.0003541777126424003
toward,0.00011387792286668691,0.0004680345080577833,0.0003541565851910964
seems,0.0001518372304889159,0.0005059832519543603,0.0003541460214654444
around,0.00018979653811114486,0.0005439319958509373,0.00035413545773979246
case,0.00022775584573337383,0.0005818807397475143,0.00035412489401414054
interest,0.0002657151533556028,0.0006198294836440914,0.00035411433028848855
able,0.0006832675372001215,0.0003415386950691932,0.0003417288421309283
live,0.0006453082295778925,0.0003035899511726162,0.00034171827840527634
past,0.0006073489219556636,0.00026564120727603916,0.0003417077146796244
colony,0.0,0.0003415386950691932,0.0003415386950691932
centre,0.0,0.0003415386950691932,0.0003415386950691932
wore,0.0,0.0003415386950691932,0.0003415386950691932
glass,0.0,0.0003415386950691932,0.0003415386950691932
finally,0.0,0.0003415386950691932,0.0003415386950691932
eyoub,0.0,0.0003415386950691932,0.0003415386950691932
barracks,0.0,0.0003415386950691932,0.0003415386950691932
older,0.0,0.0003415386950691932,0.0003415386950691932
asiatic,0.0,0.0003415386950691932,0.0003415386950691932
92,0.0,0.0003415386950691932,0.0003415386950691932
although,3.795930762222897e-05,0.0003794874389657702,0.00034152813134354125
seem,3.795930762222897e-05,0.0003794874389657702,0.00034152813134354125
sun,7.591861524445795e-05,0.00041743618286234726,0.0003415175676178893
eye,7.591861524445795e-05,0.00041743618286234726,0.0003415175676178893
effect,0.00011387792286668691,0.0004553849267589243,0.0003415070038922374
course,0.00022775584573337383,0.0005692311584486554,0.00034147531271528156
year,0.0003795930762222897,0.0007210261340349634,0.0003414330578126737
see,0.0018979653811114485,0.001568548081058517,0.00032941730005293154
know,0.0017081688430003036,0.0013788043615756318,0.0003293644814246718
series,0.0006453082295778925,0.0003162395324714752,0.00032906869710641736
gives,0.0005314303067112056,0.00020239330078174411,0.0003290370059294615
silver,0.0,0.0003288891137703342,0.0003288891137703342
tradition,0.0,0.0003288891137703342,0.0003288891137703342
monastery,0.0,0.0003288891137703342,0.0003288891137703342
boat,0.0,0.0003288891137703342,0.0003288891137703342
dervishes,0.0,0.0003288891137703342,0.0003288891137703342
patriarchate,0.0,0.0003288891137703342,0.0003288891137703342
occasion,3.795930762222897e-05,0.00036683785766691124,0.0003288785500446823
none,0.0001518372304889159,0.0004806840893566423,0.00032884685886772644
question,0.0006453082295778925,0.0003288891137703342,0.00031641911580755833
beautiful,0.0006073489219556636,0.00029094036987375717,0.0003164085520819064
sunday,0.0005314303067112056,0.00021504288208060315,0.0003163874246306025
laws,0.0004934709990889766,0.0001770941381840261,0.00031637686090495046
archive,0.0004934709990889766,0.0001770941381840261,0.00031637686090495046
american,0.0,0.0003162395324714752,0.0003162395324714752
justinian,0.0,0.0003162395324714752,0.0003162395324714752
mosaic,0.0,0.0003162395324714752,0.0003162395324714752
easter,0.0,0.0003162395324714752,0.0003162395324714752
arch,0.0,0.0003162395324714752,0.0003162395324714752
officer,0.0,0.0003162395324714752,0.0003162395324714752
scene,0.0,0.0003162395324714752,0.0003162395324714752
flags,0.0,0.0003162395324714752,0.0003162395324714752
oriental,3.795930762222897e-05,0.0003541882763680522,0.00031622896874582325
takes,0.00011387792286668691,0.0004300857641612063,0.0003162078412945194
places,0.00018979653811114486,0.0005059832519543603,0.0003161867138432154
ancient,0.00018979653811114486,0.0005059832519543603,0.0003161867138432154
taken,0.00022775584573337383,0.0005439319958509373,0.0003161761501175635
churches,0.0002657151533556028,0.0005818807397475143,0.0003161655863919115
set,0.0005693896143334346,0.0008854706909201305,0.0003160810765866959
whose,0.0007971454600668084,0.0011131631542995928,0.00031601769423278436
good,0.001442453689644701,0.0011384623168973107,0.00030399137274739023
pay,0.0004934709990889766,0.0001897437194828851,0.0003037272796060915
forms,0.0004934709990889766,0.0001897437194828851,0.0003037272796060915
ottoman,0.0,0.0003035899511726162,0.0003035899511726162
197,0.0,0.0003035899511726162,0.0003035899511726162
valideh,0.0,0.0003035899511726162,0.0003035899511726162
low,0.0,0.0003035899511726162,0.0003035899511726162
minor,0.0,0.0003035899511726162,0.0003035899511726162
sat,0.0,0.0003035899511726162,0.0003035899511726162
minarets,0.0,0.0003035899511726162,0.0003035899511726162
_sebil_,0.0,0.0003035899511726162,0.0003035899511726162
capital,0.0,0.0003035899511726162,0.0003035899511726162
baïezid,0.0,0.0003035899511726162,0.0003035899511726162
1913,0.0,0.0003035899511726162,0.0003035899511726162
kapou,0.0,0.0003035899511726162,0.0003035899511726162
accordingly,3.795930762222897e-05,0.0003415386950691932,0.0003035793874469642
originally,3.795930762222897e-05,0.0003415386950691932,0.0003035793874469642
guard,3.795930762222897e-05,0.0003415386950691932,0.0003035793874469642
events,7.591861524445795e-05,0.0003794874389657702,0.0003035688237213123
carried,0.00011387792286668691,0.00041743618286234726,0.00030355825999566036
ground,0.0003036744609778318,0.0006071799023452324,0.0003035054413674006
