Most common words,Absolute frequency,Relative frequency
practical,11.0,0.0004175523838445187
w,11.0,0.0004175523838445187
amelia,11.0,0.0004175523838445187
washington,11.0,0.0004175523838445187
stories,11.0,0.0004175523838445187
www,10.0,0.0003795930762222897
friend,10.0,0.0003795930762222897
loving,10.0,0.0003795930762222897
thing,10.0,0.0003795930762222897
brings,10.0,0.0003795930762222897
pictures,10.0,0.0003795930762222897
enough,10.0,0.0003795930762222897
feel,10.0,0.0003795930762222897
attention,10.0,0.0003795930762222897
high,10.0,0.0003795930762222897
divine,10.0,0.0003795930762222897
value,10.0,0.0003795930762222897
sermons,10.0,0.0003795930762222897
confession,10.0,0.0003795930762222897
necessity,10.0,0.0003795930762222897
christianity,10.0,0.0003795930762222897
anything,10.0,0.0003795930762222897
utter,10.0,0.0003795930762222897
felt,10.0,0.0003795930762222897
needs,10.0,0.0003795930762222897
religious,10.0,0.0003795930762222897
therefore,10.0,0.0003795930762222897
impossible,10.0,0.0003795930762222897
difference,10.0,0.0003795930762222897
phrase,10.0,0.0003795930762222897
agony,10.0,0.0003795930762222897
broken,10.0,0.0003795930762222897
translated,10.0,0.0003795930762222897
till,10.0,0.0003795930762222897
picture,10.0,0.0003795930762222897
job,10.0,0.0003795930762222897
blessing,10.0,0.0003795930762222897
loved,10.0,0.0003795930762222897
land,10.0,0.0003795930762222897
righteousness,10.0,0.0003795930762222897
asking,10.0,0.0003795930762222897
self,10.0,0.0003795930762222897
side,10.0,0.0003795930762222897
mark,10.0,0.0003795930762222897
women,10.0,0.0003795930762222897
quite,10.0,0.0003795930762222897
associated,10.0,0.0003795930762222897
kingship,10.0,0.0003795930762222897
subjects,10.0,0.0003795930762222897
interests,10.0,0.0003795930762222897
literature,10.0,0.0003795930762222897
sword,10.0,0.0003795930762222897
year,10.0,0.0003795930762222897
rich,10.0,0.0003795930762222897
record,10.0,0.0003795930762222897
popular,10.0,0.0003795930762222897
4s,10.0,0.0003795930762222897
collection,10.0,0.0003795930762222897
matheson,10.0,0.0003795930762222897
access,10.0,0.0003795930762222897
refund,10.0,0.0003795930762222897
org,9.0,0.00034163376860006075
using,9.0,0.00034163376860006075
understand,9.0,0.00034163376860006075
learned,9.0,0.00034163376860006075
fresh,9.0,0.00034163376860006075
whether,9.0,0.00034163376860006075
try,9.0,0.00034163376860006075
wanted,9.0,0.00034163376860006075
ago,9.0,0.00034163376860006075
result,9.0,0.00034163376860006075
told,9.0,0.00034163376860006075
speaks,9.0,0.00034163376860006075
speaking,9.0,0.00034163376860006075
revealed,9.0,0.00034163376860006075
speak,9.0,0.00034163376860006075
